Device,Status
tuk-f6-mia-2a, FAILED, Active=N/A Standby=N/A
tuk-f6-mia-2b, FAILED, Active=N/A Standby=N/A
tuk-f6d-mpgsc-1a, FAILED, Active=N/A Standby=N/A
tuk-f6d-mpgsc-1b, FAILED, Active=N/A Standby=N/A
tuk-f6d-ossg-1a, FAILED, Active=N/A Standby=N/A
tuk-f6d-ossg-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-a1-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-a1-1b, FAILED, Active=disable Standby=disable
tuk-f6f-a1-2a, FAILED, Active=N/A Standby=N/A
tuk-f6f-a1-2b, FAILED, Active=N/A Standby=N/A
tuk-f6f-bcn-1a, PASS
tuk-f6f-bcn-1b, PASS
tuk-f6f-cts-1a, PASS
tuk-f6f-cts-1b, PASS
tuk-f6f-int-ppt-1a, FAILED, Active=disable Standby=disable
tuk-f6f-int-ppt-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-int-v2s-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-int-v2s-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-mexp-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-mexp-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-mpgsc-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-mpgsc-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppe-ppt-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppe-ppt-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppe-sps-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppe-sps-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppt-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppt-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppt-2a, FAILED, Active=N/A Standby=N/A
tuk-f6f-ppt-2b, FAILED, Active=N/A Standby=N/A
tuk-f6f-sps-1a, PASS
tuk-f6f-sps-1b, PASS
tuk-f6f-sps-2a, PASS
tuk-f6f-sps-2b, PASS
tuk-f6f-sps-3a, PASS
tuk-f6f-sps-3b, PASS
tuk-f6f-str-1a, FAILED, Active=N/A Standby=N/A
tuk-f6f-str-1b, FAILED, Active=N/A Standby=N/A
tuk-f6f-str-2a, FAILED, Active=N/A Standby=N/A
tuk-f6f-str-2b, FAILED, Active=N/A Standby=N/A
tuk-f6f-str-3a, FAILED, Active=N/A Standby=N/A
tuk-f6f-str-3b, FAILED, Active=N/A Standby=N/A
tuk-f6f-str-4a, FAILED, Active=N/A Standby=N/A
